"phrase", "occurances"
, 889
and, 36
andor, 29
lymphoma, 26
lung, 21
bile, 14
leukaemia, 13
bladder, 12
liver, 12
except, 12
malignant, 12
neoplasms, 12
urinary, 10
cavity, 10
paranasal, 10
skin, 8
duct, 7
melanoma, 7
sinus, 7
oral, 6
pelvis, 5
renal, 4
ureter, 4
lungskin, 4
bladderleukaemia, 4
nasal, 4
bonenasal, 4
pleura, 3
lymphomamultiple, 3
sites, 3
unspecified, 3
rectumliver, 2
melanomaurinary, 2
melanomaleukaemia, 2
cervix, 2
nasopharynxleukaemia, 2
kaposi, 2
sinuslung, 2
bone, 2
ductgallbladderleukaemia, 2
16, 1
digestive, 1
tractupperoesophagus, 1
larynx, 1
cavitypharynxoesophaguscolon, 1
ductlarynxbreast, 1
lungurinary, 1
larynxlungmesothelium, 1
peritoneumovary, 1
cavitypharynxoesophagus, 1
cavityoesophagus, 1
breastvaginauterine, 1
mesothelium, 1
peritoneum, 1
endometriumovary, 1
breastendometrium, 1
ductbreastuterine, 1
stomachleukaemia, 1
ductleukaemia, 1
anusendothelium, 1
cervixeyeleukaemia, 1
sarcomauterine, 1
cavitytonsilpharynxanusvulvavaginauterine, 1
cervixpenis, 1
type, 1
endothelium, 1
sarcomaleukaemia, 1
lungleukaemia, 1
lungmesothelium, 1
peritoneumurinary, 1
ductlungbone, 1
thyroid, 1
stomachlungurinary, 1
nasopharynx, 1
melanomaskin, 1
endometrium, 1
cavitypharynxnasopharynxoesophagusstomachcolon, 1
cervixovarykidneyrenal, 1
ductpancreasnasal, 1
sinuslarynxlunguterine, 1
ureterurinary, 1
cavityoesophaguspancreas, 1
kidney, 1
melanomaeye, 1
eye, 1
nasopharynxnasal, 1
bladderbrain, 1
central, 1
glandoesophagusstomachcolon, 1
melanomabreastkidneyurinary, 1
nervous, 1
rectumlungboneskin, 1
salivary, 1
systemthyroidleukaemia, 1
