"phrase", "occurances"
, 889
andor lymphoma, 26
lung, 21
and bile, 14
leukaemia andor, 13
liver and, 12
malignant neoplasms, 12
neoplasms except, 12
and paranasal, 10
cavity and, 10
urinary bladder, 8
bile duct, 7
except melanoma, 7
paranasal sinus, 7
skin malignant, 6
pelvis and, 5
and ureter, 4
renal pelvis, 4
lungskin malignant, 4
bladderleukaemia andor, 4
nasal cavity, 4
bonenasal cavity, 4
pleura and, 3
andor lymphomamultiple, 3
lymphomamultiple sites, 3
sites unspecified, 3
and rectumliver, 2
rectumliver and, 2
except melanomaurinary, 2
melanomaurinary bladder, 2
except melanomaleukaemia, 2
melanomaleukaemia andor, 2
urinary bladderleukaemia, 2
nasopharynxleukaemia andor, 2
paranasal sinuslung, 2
bone, 2
bile ductgallbladderleukaemia, 2
ductgallbladderleukaemia andor, 2
digestive tractupperoesophagus, 1
larynx, 1
bile ductlarynxbreast, 1
cavitypharynxoesophaguscolon and, 1
oral cavitypharynxoesophaguscolon, 1
lungurinary bladder, 1
and peritoneumovary, 1
larynxlungmesothelium pleura, 1
oral cavitypharynxoesophagus, 1
oral cavityoesophagus, 1
breastvaginauterine cervix, 1
and peritoneum, 1
mesothelium pleura, 1
endometriumovary, 1
breastendometrium, 1
bile ductbreastuterine, 1
ductbreastuterine cervix, 1
stomachleukaemia andor, 1
bile ductleukaemia, 1
ductleukaemia andor, 1
anusendothelium kaposi, 1
cervixeyeleukaemia andor, 1
kaposi sarcomauterine, 1
sarcomauterine cervixeyeleukaemia, 1
cavitytonsilpharynxanusvulvavaginauterine cervixpenis, 1
cervixpenis type, 1
oral cavitytonsilpharynxanusvulvavaginauterine, 1
type 16, 1
endothelium kaposi, 1
kaposi sarcomaleukaemia, 1
sarcomaleukaemia andor, 1
lungleukaemia andor, 1
and peritoneumurinary, 1
lungmesothelium pleura, 1
peritoneumurinary bladder, 1
bile ductlungbone, 1
thyroid, 1
stomachlungurinary bladderleukaemia, 1
nasopharynx, 1
melanomaskin malignant, 1
skin melanomaskin, 1
endometrium, 1
and ureterurinary, 1
bile ductpancreasnasal, 1
cavitypharynxnasopharynxoesophagusstomachcolon and, 1
cervixovarykidneyrenal pelvis, 1
ductpancreasnasal cavity, 1
oral cavitypharynxnasopharynxoesophagusstomachcolon, 1
paranasal sinuslarynxlunguterine, 1
sinuslarynxlunguterine cervixovarykidneyrenal, 1
ureterurinary bladderleukaemia, 1
oral cavityoesophaguspancreas, 1
kidney, 1
skin melanomaeye, 1
eye, 1
nasopharynxnasal cavity, 1
and central, 1
and rectumlungboneskin, 1
bladderbrain and, 1
central nervous, 1
except melanomabreastkidneyurinary, 1
glandoesophagusstomachcolon and, 1
melanomabreastkidneyurinary bladderbrain, 1
nervous systemthyroidleukaemia, 1
rectumlungboneskin malignant, 1
salivary glandoesophagusstomachcolon, 1
systemthyroidleukaemia andor, 1
